002,False,
003,False,
004,False,
005,False,
006,False,
007,False,
008,False,
009,False,
010,False,
011,True,
012,False,
013,False,
014,False,
015,False,
016,False,
017,False,
018,True,
019,False,
020,False,
021,False,
022,False,
023,False,
024,False,
025,False,
026,True,
027,False,
028,True,
029,True,
030,False,
031,False,
032,False,
033,True,
034,True,
035,False,
036,True,
037,True,
038,True,
039,True,
040,True,
041,False,
042,False,
043,False,
044,False,
045,False,
046,False,
047,False,
048,False,
049,True,
